,,,,,,,,,,,
dam_name,nidid,inspection_date,owner_typ,river,city,county,longitude,latitude,inspection_frequency,year_completed,year_modified
Brewer Dam,NC03165,1/23/13,Private,South Yadkin-Tr,Cooleemee,Iredell,-80.8102,35.893,5,1986,not available
Wicker Shaw Pond,NC03268,3/1/12,Private,Patterson Creek-Tr,not available,Lee,-79.233,35.506,5,not available,not available
Oakwood Lane Dam,NC03410,12/2/14,Private,Reedy Creek-Tr,Charlotte,Mecklenburg,-80.7313,35.2425,2,not available,1994
Hight Pond Dam,NC03538,4/21/15,Private,Aberdeen Ck-Tr,not available,Moore,-79.426,35.113,2,not available,not available
Scott Braswell Dam,NC03632,3/31/04,Private,Sandy Creek-Os,not available,Nash,-77.9497,36.1244,5,not available,not available
Hinson Pond Dam,NC04149,10/29/14,Private,Stony Run-Os,not available,Stanly,-80.3472,35.2594,2,not available,not available
Griffith Dam #1,NC03399,1/21/15,Private,Mallard Creek-Os,Derita,Mecklenburg,-80.8158,35.3243,2,1958,not available
Willard Woody Dam,NC04327,3/10/14,Private,Cooper Creek,Bryson City,Swain,-83.3718,35.4924,5,not available,not available
Billingsley Dam,NC03400,12/4/14,Local Government,Brier Creek-Os,Charlotte,Mecklenburg,-80.8079,35.1924,2,not available,not available
Stafford Pond Dam,NC04129,1/8/14,Private,Gaddy Branch,Ingold,Sampson,-78.326,34.829,2,not available,2000
Leatherman Pond Dam,NC03297,2/16/15,Private,Howards Creek - Trib,Vale,Lincoln,-81.3933,35.5455,2,not available,not available
Hanks Dam,NC03193,1/6/15,Private,Fowler Creek,Bull Pen,Jackson,-83.088,35.088,2,not available,not available
Yelton Dam,NC04115,2/20/13,Private,Cathey'S Creek-Tr,Bostic,Rutherford,-81.91,35.391,5,not available,not available
Earth Movers Dam Upper,NC03164,2/23/15,Private,Catawba River-Trib.,not available,Iredell,-81.046,35.716,2,not available,1986
University Place Dam,NC03453,11/18/14,Private,Mallard Creek-Tr,Charlotte,Mecklenburg,-80.7495,35.3134,2,1985,not available
Maness Dam,NC04332,2/20/14,Private,Peachtree Creek,Almond,Swain,-83.566,35.3569,5,not available,not available
Palmisano Dam,NC03334,5/1/14,Private,S Fork Skeenah Creek-Tr,Prentiss,Macon,-83.4188,35.1105,2,not available,not available
Ivy Dam,NC03365,2/17/11,Private,Ivy River,not available,Madison,-82.618,35.772,2,not available,not available
Farris Park Dam,NC03866,1/27/11,Local Government,Big Beaver Island Creek-Tr,Madison,Rockingham,-79.9925,36.4302,5,1979,not available
Keith Carver Dam,NC04118,3/27/13,Private,Mountain Creek-Tr,Rutherfordton,Rutherford,-82.0119,35.4251,5,1990,not available
Saltz Lake Dam,NC04344,7/7/82,Private,Brushy Creek,Brevard,Transylvania,-82.753,35.241,2,not available,not available
Siniard Upper Pond Dam,NC04350,7/29/15,Private,Long Branch,Brevard,Transylvania,-82.743,35.259,2,not available,not available
Upper Barham Dam,NC03937,11/13/13,Private,Haw River-Tr,Altamahaw_Nc,Rockingham,-79.871,36.258,5,not available,not available
Highlands Falls Cc Dam,NC03328,6/17/13,Private,Cullasaja River,Highlands,Macon,-83.186,35.07,5,1973,not available
Nelson Park Dam,NC04097,2/20/15,Private,2Nd Broad River-Tr,Caroleen,Rutherford,-81.821,35.331,2,1981,not available
Robert Mosely Dam,NC02648,3/5/15,Private,Cheoah River-Trib,Tapoco,Graham,-83.8417,35.3522,2,1986,not available
Beaumont Acres Dam,NC03073,2/18/13,Private,Oklawaha Creek-Tr,Hendersonville,Henderson,-82.4854,35.2753,5,not available,2010
Civitan Lake Dam,NC02156,8/4/15,Private,Cross Creek-Tr,Fayetteville,Cumberland,-78.8826,35.0969,2,not available,2001
Moore Dam,NC02056,10/22/13,Private,Catawba River-Os,Terrell,Catawba,-81.0022,35.7,5,1981,not available
Jones Dam,NC02584,2/26/02,Private,Sandy Creek-Tr,not available,Franklin,-78.2035,36.125,5,not available,not available
Elmoe Pond Dam,NC01976,11/25/14,Private,Coddle Creek-Os,Roberta Mill,Cabarrus,-80.6608,35.4172,2,1951,not available
Piney Grove Pond Dam,NC02034,9/24/15,Private,Balls Creek-Tr,not available,Catawba,-81.11,35.6391,5,not available,not available
Governors Club Dam #1,NC02096,3/21/13,Private,Cub Creek-Tr,not available,Chatham,-79.0366,35.8475,2,1989,not available
Lambert Dam,NC02589,4/15/11,Private,Press Prong Creek-Tr,Daddysville,Franklin,-78.235,35.903,2,not available,not available
Gimlin Dam,NC01841,10/30/14,Private,Obids Creek,Obids,Ashe,-81.3755,36.2865,2,not available,not available
Willow Run Farm Dam,NC03028,4/2/14,Private,French Broad River-Tr,Horse Shoe,Henderson,-82.5429,35.3459,5,1978,not available
Johnson Dam,NC02997,1/10/12,Private,Harley Branch,Bethel,Haywood,-82.8191,35.4547,5,not available,not available
Cone Pond Dam,NC02595,4/4/13,Private,Norris Creek-Tr,Spring Hope,Franklin,-78.2633,35.9066,2,1989,not available
Sims Pond,NC01723,1/1/11,Federal,Sims Creek,not available,Watauga,-81.72,36.142,5,not available,not available
Moore-Shaw Dam,NC02906,8/14/12,Private,Back Creek,not available,Guilford,-79.5672,36.0947,5,not available,not available
Governors Club Dam 3,NC02094,10/12/15,Private,Cub Creek-Tr,not available,Chatham,-79.0302,35.835,2,1989,not available
